Crash_ID,Unit_Nbr,Unit_Desc_ID,Veh_Parked_Fl,Veh_HNR_Fl,Veh_Lic_State_ID,VIN,Veh_Mod_Year,Veh_Color_ID,Veh_Make_ID,Veh_Mod_ID,Veh_Body_Styl_ID,Emer_Respndr_Fl,Ownr_Zip,Fin_Resp_Proof_ID,Fin_Resp_Type_ID,Veh_Dmag_Area_1_ID,Veh_Dmag_Scl_1_ID,Force_Dir_1_ID,Veh_Dmag_Area_2_ID,Veh_Dmag_Scl_2_ID,Force_Dir_2_ID,Veh_Inventoried_Fl,Veh_Transp_Name,Veh_Transp_Dest,Veh_Cmv_Fl,Cmv_Fiveton_Fl,Cmv_Hazmat_Fl,Cmv_Nine_Plus_Pass_Fl,Cmv_Veh_Oper_ID,Cmv_Carrier_ID_Type_ID,Cmv_Carrier_Zip,Cmv_Veh_Type_ID,Cmv_GVWR,Cmv_RGVW,Cmv_Hazmat_Rel_Fl,Hazmat_Cls_1_ID,Hazmat_IDNbr_1_ID,Hazmat_Cls_2_ID,Hazmat_IDNbr_2_ID,Cmv_Cargo_Body_ID,Cmv_Evnt1_ID,Cmv_Evnt2_ID,Cmv_Evnt3_ID,Cmv_Evnt4_ID,Cmv_Tot_Axle,Cmv_Tot_Tire,Contrib_Factr_1_ID,Contrib_Factr_2_ID,Contrib_Factr_3_ID,Contrib_Factr_P1_ID,Contrib_Factr_P2_ID,Veh_Dfct_1_ID,Veh_Dfct_2_ID,Veh_Dfct_3_ID,Veh_Dfct_P1_ID,Veh_Dfct_P2_ID,Veh_Trvl_Dir_ID,First_Harm_Evt_Inv_ID,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Cmv_Disabling_Damage_Fl,Cmv_Bus_Type_ID,Trlr_GVWR,Trlr_RGVW,Trlr_Type_ID,Trlr_Disabling_Dmag_ID,Cmv_Intermodal_Container_Permit_Fl,CMV_Actual_Gross_Weight
17054356,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,9,1,0,1,0,0,0,1,0,,,,,,,,
17054357,1,1,N,N,59,1FUJGLD51GLHM1589,2016,3,38,1524,106,N,,1,2,4,1,1,,,,N,SOUTHSIDE WRECKER INC,8200 S. CONGRESS AVE,Y,Y,N,N,1,2,,7,43000,0,N,,,,,3,13,,,,,,0,,,,,,,,,,1,1,0,0,0,2,0,0,0,Y,0,,,,,N,
17054357,2,1,N,N,43,2G11Z5SL2F9225638,2015,2,107,53,104,N,78748,1,2,2,7,12,6,7,6,N,SOUTHSIDE WRECKER INC,8200 S. CONGRESS AVE,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,0,0,1,0,0,1,0,,,,,,,,
17054357,3,1,N,N,43,1GNDX03E0YD181598,2000,21,107,60,106,N,78211,1,2,5,1,6,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,2,0,0,0,1,0,0,0,,,,,,,,
17054358,1,1,N,N,43,SALME15446A215087,2006,9,57,1298,69,N,78703,1,2,,,,,,,N,DRIVEN FROM SCENE,DRIVEN FROM SCENE,N,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,6,1,0,0,0,1,0,0,0,,,,,,,,
17054358,2,1,N,N,43,1GB0CVCG1EF158885,2014,21,107,2237,30,N,76574,1,2,,,,,,,N,DRIVEN AWAY,DRIVEN AWAY,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,6,1,0,0,0,1,0,0,0,,,,,,,,
17054359,1,1,N,Y,43,1GNEC13ZX2R187699,2002,18,107,547,69,N,78748,2,,4,5,1,,,,Y,SOUTHSIDE WRECKER INC,8200 S. CONGRESS AVE,N,,,,,,,,,,,,,,,,,,,,,,20,4,,19,45,,,,,,6,1,0,1,0,0,1,1,0,,,,,,,,
17054359,2,1,N,N,43,KNDPM3ACXH7143215,2017,17,55,715,69,N,78748,1,1,3,2,11,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,6,1,0,0,0,1,0,0,0,,,,,,,,
17054359,3,1,N,N,43,1N4AL3AP8HN316422,2017,17,71,500,104,N,78741,1,1,15,2,11,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,6,2,0,0,0,1,0,0,0,,,,,,,,
17054360,1,1,N,N,43,2FTRX17W23CA95970,2003,21,37,2324,30,N,78701,1,1,2,3,12,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,6,1,0,0,0,1,0,0,0,,,,,,,,
17054360,2,1,N,N,43,2G1WB5EK9A1213314,2010,17,107,53,104,N,77578,1,1,11,3,9,,,,Y,STARS TOWING,STARS TOWING,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4,1,0,0,0,3,0,0,0,,,,,,,,
17054361,1,1,N,N,43,JF1ZNAA1XD1710616,2013,13,91,2570,100,Y,78752,1,1,1,3,12,11,3,10,N,,,N,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,5,1,0,0,1,0,0,1,0,,,,,,,,
17054362,1,1,N,N,43,2C4RC1BG6FR696411,2015,9,21,64,103,N,78653,1,2,16,2,3,,,,N,OWNER,DRIVEN AWAY,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,7,1,0,0,0,2,0,0,0,,,,,,,,
17054362,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,9,1,0,1,0,0,0,1,0,,,,,,,,
17054363,1,1,N,N,43,3N1CN7AP0EL859086,2014,2,71,1452,104,N,78737,1,2,2,5,12,,,,Y,620 LAKESIDE TOWING,620 LAKESIDE TOWING,N,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
17054363,2,1,N,N,43,5J6RW1H95JL014551,2018,21,44,107,69,N,78727,1,2,6,2,6,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
17054364,1,1,N,N,43,4RKYL82J4H9775772,2017,16,502,941,47,Y,78702,1,2,7,1,7,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
